drug_key,total_reports,serious_reports,serious_rate,reaction_diversity,drug_name
15,6,6,100.0,17,CEFTRIAXONE
65,22,22,100.0,58,HUMIRA
66,9,9,100.0,23,ACLASTA
64,5,5,100.0,10,REVLIMID
84,5,5,100.0,29,AUBAGIO
81,5,5,100.0,3,NEULASTA
94,9,9,100.0,1,OMNISCAN
95,6,6,100.0,16,CLOZARIL
104,6,6,100.0,40,AMPYRA
120,12,12,100.0,2,HOLOXAN
257,5,5,100.0,33,SOLIRIS
85,10,10,100.0,15,GLIVEC
6,21,20,95.23809523809523,4,LIPITOR
70,10,9,90.0,33,GILENYA
131,15,13,86.66666666666667,31,DIANEAL LOW CALCIUM
19,16,12,75.0,27,MIRENA
14,7,5,71.42857142857143,15,PRADAXA
83,6,3,50.0,18,ONFI
4,16,4,25.0,33,LYRICA
34,107,17,15.887850467289718,177,DEPAKOTE
56,105,16,15.238095238095239,164,JAKAFI
7,206,16,7.766990291262135,158,LETAIRIS
20,10,0,0.0,11,SPIRIVA
40,5,0,0.0,12,REVATIO
12,7,0,0.0,10,TYVASO
72,32,0,0.0,4,CLARITIN CHEWABLE TABLETS
89,8,0,0.0,9,NEXPLANON
77,6,0,0.0,9,OXYTROL FOR WOMEN
116,5,0,0.0,6,CORICIDIN HBP COLD AND FLU
228,5,0,0.0,6,PLAN B ONE-STEP
