drug_name,reaction_name,count
LETAIRIS,Dyspnoea,33
CLARITIN CHEWABLE TABLETS,Overdose,30
LIPITOR,Type 2 diabetes mellitus,20
LETAIRIS,Oedema peripheral,16
LETAIRIS,Headache,15
LETAIRIS,Fatigue,15
LETAIRIS,Unevaluable event,13
HOLOXAN,Disease progression,12
JAKAFI,Haemoglobin decreased,11
DEPAKOTE,Tremor,11
LETAIRIS,Fluid retention,11
JAKAFI,Fatigue,10
DEPAKOTE,Drug ineffective,10
LETAIRIS,Malaise,10
LETAIRIS,Cough,10
LETAIRIS,Swelling,10
JAKAFI,Headache,10
LETAIRIS,Insomnia,9
OMNISCAN,Nephrogenic systemic fibrosis,9
JAKAFI,Contusion,9
LETAIRIS,Nasal congestion,8
MIRENA,Uterine perforation,8
JAKAFI,Diarrhoea,8
JAKAFI,Nausea,8
LETAIRIS,Oedema,8
LETAIRIS,Dizziness,8
LETAIRIS,Asthenia,7
LETAIRIS,Dyspnoea exertional,7
DEPAKOTE,Alopecia,7
LETAIRIS,Peripheral swelling,7
MIRENA,Injury,7
JAKAFI,Drug dose omission,7
JAKAFI,Anaemia,7
JAKAFI,Blood count abnormal,7
MIRENA,Pain,7
JAKAFI,Weight increased,7
DEPAKOTE,Nausea,6
LETAIRIS,Fall,6
MIRENA,Emotional distress,6
JAKAFI,Platelet count decreased,6
JAKAFI,Dizziness,6
GLIVEC,Death,6
DEPAKOTE,Insomnia,5
CEFTRIAXONE,Maternal exposure during pregnancy,5
LYRICA,Drug ineffective,5
JAKAFI,Rash,5
DEPAKOTE,Vomiting,5
JAKAFI,White blood cell count increased,5
DEPAKOTE,Hypersensitivity,5
DEPAKOTE,Gait disturbance,5
LETAIRIS,Vomiting,5
LETAIRIS,Arthralgia,5
LETAIRIS,Pain,5
LETAIRIS,Diarrhoea,5
CEFTRIAXONE,Amniotic cavity infection,4
DEPAKOTE,Feeling jittery,4
DEPAKOTE,Fatigue,4
DEPAKOTE,Fall,4
DEPAKOTE,Foetal exposure during pregnancy,4
JAKAFI,Platelet count increased,4
LETAIRIS,Throat irritation,4
JAKAFI,Insomnia,4
JAKAFI,Pain,4
JAKAFI,Epistaxis,4
DEPAKOTE,Somnolence,4
DEPAKOTE,Weight increased,4
MIRENA,Device dislocation,4
DEPAKOTE,Rash,4
LETAIRIS,Feeling abnormal,4
LETAIRIS,Palpitations,4
LETAIRIS,Weight increased,4
LETAIRIS,Nasopharyngitis,4
DEPAKOTE,Balance disorder,4
SPIRIVA,Product quality issue,4
SPIRIVA,Incorrect route of drug administration,4
ACLASTA,Death,3
YAZ,Abdominal pain,3
SOLIRIS,Fatigue,3
TYVASO,Fatigue,3
SPIRIVA,Off label use,3
LETAIRIS,Pain in extremity,3
LETAIRIS,Liver function test abnormal,3
LETAIRIS,Pruritus,3
DEPAKOTE,Anxiety,3
CORICIDIN HBP COLD AND FLU,Somnolence,3
DEPAKOTE,Dizziness,3
SOLIRIS,Haemoglobinuria,3
LETAIRIS,Back pain,3
JAKAFI,White blood cell count decreased,3
LETAIRIS,Anaemia,3
JAKAFI,Transfusion,3
JAKAFI,Pruritus,3
JAKAFI,Splenomegaly,3
JAKAFI,Vomiting,3
LETAIRIS,Nausea,3
LETAIRIS,Urinary tract infection,3
LETAIRIS,Sinusitis,3
LETAIRIS,Syncope,3
AUBAGIO,Alopecia,3
LETAIRIS,Drug ineffective,3
LETAIRIS,Haemoglobin decreased,3
LETAIRIS,Productive cough,3
LETAIRIS,Pain in jaw,3
YAZ,General physical health deterioration,3
YAZ,Injury,3
DEPAKOTE,Depression,3
OXYTROL FOR WOMEN,Drug ineffective,3
MIRENA,Device expulsion,3
JAKAFI,Abdominal distension,3
NEXPLANON,Device difficult to use,3
HUMIRA,Asthenia,3
EXJADE,Death,3
NEULASTA,Investigation,3
NEXPLANON,No adverse event,3
JAKAFI,Abdominal pain,3
JAKAFI,Hospice care,3
JAKAFI,Flatulence,3
JAKAFI,Dyspnoea,3
YAZ,Pain,3
DEPAKOTE,Nervousness,3
DEPAKOTE,Off label use,3
DEPAKOTE,Phobia,3
DEPAKOTE,Hyperammonaemia,3
DEPAKOTE,Medication residue present,3
DEPAKOTE,Headache,3
DEPAKOTE,Malaise,3
DEPAKOTE,Mania,3
DEPAKOTE,Feeling abnormal,3
DEPAKOTE,Drug hypersensitivity,3
CLOZARIL,White blood cell count increased,3
DEPAKOTE,Hallucination,3
PREDNISONE,Pyrexia,3
PLAN B ONE-STEP,Menstruation irregular,3
PREDNISONE,Meningitis,3
PREDNISONE,Listeriosis,3
LYRICA,Joint swelling,3
TEGRETOL,Convulsion,2
TYVASO,Cough,2
SPIRIVA,Drug administration error,2
TYVASO,Chest discomfort,2
YAZ,Anxiety,2
ACLASTA,Chronic obstructive pulmonary disease,2
TYVASO,Hypotension,2
CLOZARIL,Tachycardia,2
CORICIDIN HBP COLD AND FLU,Drug ineffective,2
DEPAKOTE,Amnesia,2
DEPAKOTE,Abdominal pain upper,2
DEPAKOTE,Agitation,2
DEPAKOTE,Bone marrow failure,2
SANDOSTATIN LAR DEPOT,Influenza,2
CORICIDIN HBP COLD AND FLU,Drug effect decreased,2
JAKAFI,Platelet count abnormal,2
JAKAFI,Stomatitis,2
JAKAFI,Stem cell transplant,2
