date_key,date,year,month,month_name,quarter
20080625,2008-06-25,2008,6,June,2
20140228,2014-02-28,2014,2,February,1
20140306,2014-03-06,2014,3,March,1
20140312,2014-03-12,2014,3,March,1
20140313,2014-03-13,2014,3,March,1
20140314,2014-03-14,2014,3,March,1
20140315,2014-03-15,2014,3,March,1
20140317,2014-03-17,2014,3,March,1
20140319,2014-03-19,2014,3,March,1
20140320,2014-03-20,2014,3,March,1
20140321,2014-03-21,2014,3,March,1
20140324,2014-03-24,2014,3,March,1
20140325,2014-03-25,2014,3,March,1
20140326,2014-03-26,2014,3,March,1
20140327,2014-03-27,2014,3,March,1
20140328,2014-03-28,2014,3,March,1
20140331,2014-03-31,2014,3,March,1
20140401,2014-04-01,2014,4,April,2
20140402,2014-04-02,2014,4,April,2
20140403,2014-04-03,2014,4,April,2
20140404,2014-04-04,2014,4,April,2
20140407,2014-04-07,2014,4,April,2
20140408,2014-04-08,2014,4,April,2
20140409,2014-04-09,2014,4,April,2
20140410,2014-04-10,2014,4,April,2
20140411,2014-04-11,2014,4,April,2
20140414,2014-04-14,2014,4,April,2
20140416,2014-04-16,2014,4,April,2
20140417,2014-04-17,2014,4,April,2
20140418,2014-04-18,2014,4,April,2
20140422,2014-04-22,2014,4,April,2
20140424,2014-04-24,2014,4,April,2
20140425,2014-04-25,2014,4,April,2
20140428,2014-04-28,2014,4,April,2
20140429,2014-04-29,2014,4,April,2
20140501,2014-05-01,2014,5,May,2
20140502,2014-05-02,2014,5,May,2
20140505,2014-05-05,2014,5,May,2
20140506,2014-05-06,2014,5,May,2
20140507,2014-05-07,2014,5,May,2
20140509,2014-05-09,2014,5,May,2
20140512,2014-05-12,2014,5,May,2
20140515,2014-05-15,2014,5,May,2
20140516,2014-05-16,2014,5,May,2
20140519,2014-05-19,2014,5,May,2
20140520,2014-05-20,2014,5,May,2
20140522,2014-05-22,2014,5,May,2
20140528,2014-05-28,2014,5,May,2
20140530,2014-05-30,2014,5,May,2
20140602,2014-06-02,2014,6,June,2
20140603,2014-06-03,2014,6,June,2
20140607,2014-06-07,2014,6,June,2
20140609,2014-06-09,2014,6,June,2
20140611,2014-06-11,2014,6,June,2
20140615,2014-06-15,2014,6,June,2
20140618,2014-06-18,2014,6,June,2
20140620,2014-06-20,2014,6,June,2
20140624,2014-06-24,2014,6,June,2
20140625,2014-06-25,2014,6,June,2
20140626,2014-06-26,2014,6,June,2
20140630,2014-06-30,2014,6,June,2
20140711,2014-07-11,2014,7,July,3
20140713,2014-07-13,2014,7,July,3
20140715,2014-07-15,2014,7,July,3
20140717,2014-07-17,2014,7,July,3
20140721,2014-07-21,2014,7,July,3
20140804,2014-08-04,2014,8,August,3
20140807,2014-08-07,2014,8,August,3
20140814,2014-08-14,2014,8,August,3
20140815,2014-08-15,2014,8,August,3
20140820,2014-08-20,2014,8,August,3
20140821,2014-08-21,2014,8,August,3
20140904,2014-09-04,2014,9,September,3
20140905,2014-09-05,2014,9,September,3
20140908,2014-09-08,2014,9,September,3
20140912,2014-09-12,2014,9,September,3
20140918,2014-09-18,2014,9,September,3
20140922,2014-09-22,2014,9,September,3
20141010,2014-10-10,2014,10,October,4
20141105,2014-11-05,2014,11,November,4
20141106,2014-11-06,2014,11,November,4
20141204,2014-12-04,2014,12,December,4
20141215,2014-12-15,2014,12,December,4
20141224,2014-12-24,2014,12,December,4
20150105,2015-01-05,2015,1,January,1
20150117,2015-01-17,2015,1,January,1
20150122,2015-01-22,2015,1,January,1
20150310,2015-03-10,2015,3,March,1
20150312,2015-03-12,2015,3,March,1
20150327,2015-03-27,2015,3,March,1
20150331,2015-03-31,2015,3,March,1
20150403,2015-04-03,2015,4,April,2
20150430,2015-04-30,2015,4,April,2
20150501,2015-05-01,2015,5,May,2
20150505,2015-05-05,2015,5,May,2
20150525,2015-05-25,2015,5,May,2
20150602,2015-06-02,2015,6,June,2
20150611,2015-06-11,2015,6,June,2
20150616,2015-06-16,2015,6,June,2
20150805,2015-08-05,2015,8,August,3
20150812,2015-08-12,2015,8,August,3
20150817,2015-08-17,2015,8,August,3
20150818,2015-08-18,2015,8,August,3
20150819,2015-08-19,2015,8,August,3
20151030,2015-10-30,2015,10,October,4
20160229,2016-02-29,2016,2,February,1
20161208,2016-12-08,2016,12,December,4
20170119,2017-01-19,2017,1,January,1
20171102,2017-11-02,2017,11,November,4
20171121,2017-11-21,2017,11,November,4
20171130,2017-11-30,2017,11,November,4
20180123,2018-01-23,2018,1,January,1
20181211,2018-12-11,2018,12,December,4
20200421,2020-04-21,2020,4,April,2
20210629,2021-06-29,2021,6,June,2
