reaction_key,reaction_name
1,Abasia
2,Abdominal discomfort
3,Abdominal distension
4,Abdominal pain
5,Abdominal pain lower
6,Abdominal pain upper
7,Abdominal tenderness
8,Abnormal behaviour
9,Abnormal dreams
10,Abnormal sensation in eye
11,Abortion induced
12,Abortion late
13,Abortion spontaneous
14,Abscess bacterial
15,Abscess limb
16,Accidental exposure to product by child
17,Accidental overdose
18,Acidosis
19,Acne
20,Activities of daily living impaired
21,Acute graft versus host disease
22,Acute myocardial infarction
23,Acute respiratory distress syndrome
24,Acute respiratory failure
25,Adenoviral haemorrhagic cystitis
26,Adenovirus infection
27,Adhesion
28,Adnexa uteri pain
29,Adverse drug reaction
30,Adverse event
31,Adverse reaction
32,Affect lability
33,Affective disorder
34,Aggression
35,Agitation
36,Alanine aminotransferase increased
37,Alcohol detoxification
38,Alcohol withdrawal syndrome
39,Allergic cough
40,Alopecia
41,Amenorrhoea
42,Ammonia increased
43,Amnesia
44,Amniotic cavity infection
45,Amylase increased
46,Anaemia
47,Anaphylactic reaction
48,Anger
49,Angina pectoris
50,Angioedema
51,Anorectal discomfort
52,Anticonvulsant drug level below therapeutic
53,Anticonvulsant drug level decreased
54,Antipsychotic drug level above therapeutic
55,Antipsychotic drug level below therapeutic
56,Anxiety
57,Aortic dissection
58,Apathy
59,Aphasia
60,Aphthous stomatitis
61,Apnoea
62,Apparent death
63,Appendix disorder
64,Application site erythema
65,Application site pruritus
66,Arrhythmia
67,Arteriovenous fistula site complication
68,Arthralgia
69,Arthritis
70,Arthropathy
71,Aspartate aminotransferase increased
72,Asthenia
73,Atrial fibrillation
74,Atrial septal defect
75,Atrioventricular block first degree
76,Auricular haematoma
77,Autism
78,Axillary vein thrombosis
79,B-lymphocyte count decreased
80,BK virus infection
81,Back disorder
82,Back injury
83,Back pain
84,Balance disorder
85,Basal cell carcinoma
86,Benign prostatic hyperplasia
87,Biliary tract disorder
88,Bipolar disorder
89,Blepharospasm
90,Blindness
91,Blindness unilateral
92,Blister
93,Blood alkaline phosphatase increased
94,Blood cholesterol abnormal
95,Blood cholesterol decreased
96,Blood cholesterol increased
97,Blood count abnormal
98,Blood creatinine increased
99,Blood fibrinogen decreased
100,Blood glucose increased
101,Blood lactate dehydrogenase increased
102,Blood potassium decreased
103,Blood potassium increased
104,Blood pressure decreased
105,Blood pressure diastolic increased
106,Blood pressure fluctuation
107,Blood pressure increased
108,Blood prolactin increased
109,Blood smear test abnormal
110,Blood sodium decreased
111,Blood testosterone free decreased
112,Blood triglycerides abnormal
113,Blood triglycerides decreased
114,Blood urine present
115,Body height below normal
116,Body temperature
117,Bone density decreased
118,Bone disorder
119,Bone graft
120,Bone marrow failure
121,Bone marrow transplant
122,Bone pain
123,Bradykinesia
124,Breast cancer
125,Breast enlargement
126,Bronchial carcinoma
127,Bronchiolitis
128,Bronchitis
129,Bronchitis pneumococcal
130,Bronchopulmonary aspergillosis
131,Bronchospasm
132,Bruxism
133,Bundle branch block right
134,Bursitis
135,C-reactive protein increased
136,CD4 lymphocytes decreased
137,Caesarean section
138,Calciphylaxis
139,Cardiac arrest
140,Cardiac disorder
141,Cardiac failure congestive
142,Cardiac flutter
143,Cardiac murmur
144,Cardiotoxicity
145,Cardiovascular disorder
146,Carnitine deficiency
147,Cataract
148,Catheter site infection
149,Catheter site inflammation
150,Cautery to nose
151,Cellulitis
152,Central nervous system lesion
153,Central venous catheterisation
154,Cerebral haemorrhage
155,Cerebral venous thrombosis
156,Cerebrovascular accident
157,Cerebrovascular arteriovenous malformation
158,Chapped lips
159,Chemical poisoning
160,Chemotherapy
161,Chest discomfort
162,Chest pain
163,Chills
164,Cholecystectomy
165,Cholelithiasis
166,Cholestasis
167,Chronic gastritis
168,Chronic graft versus host disease
169,Chronic obstructive pulmonary disease
170,Chronic sinusitis
171,Circulatory collapse
172,Clavicle fracture
173,Cleft palate
174,Coeliac disease
175,Cognitive disorder
176,Cold agglutinins
177,Cold sweat
178,Colitis ulcerative
